Username,Review Date,Review
Nitesh Bhatia,Reviewed in India on 3 September 2023,This processor is absolutely incredible with no doubt’s… The only this you have to keep in mind that go for atleast 360 AIO for more better performance…
yogesh Kumar,Reviewed in India on 28 March 2023,The Media could not be loaded.The Most Powerful cpu at this price bracket no doubt.Amazing Performance Loved it.
Nilesh Nikte,Reviewed in India on 16 January 2024,
Dhruv Joshi,Reviewed in India on 14 January 2023,This is my best buy so far for gaming and editing. It runs great whatever you throw. Excellent performance so far. Cinebench score is 29000 at 125 TDP.Suggestion: Buy only if you have very good amount of cooler.
Robert Johnson,Reviewed in the United States on 8 March 2024,"I bought this to replace my 10850k after I realized how much it was holding back my 4090.  I bought an ASRock z790 PG lightning /d4 board to go with it so I could use my existing DDR4 ram.  The difference was night and day!  I have an ID-Cooling 280mm AIO (cheapest I could find on Amazon) with a contact frame and kyronaut thermal grizzly extreme paste and does not thermal throttle on Cinebench R23 unless I run 3 or 4 passes back to back.  I am thrilled with how well this CPU runs.I was able to bump my DDR4 up to 4200mhz in gear 1 (timings cl20/26/26/26/48) after a bios update from ASRock and this thing is rock solid and crazy fast!  I get an average of 30500 in cinebench r23 and it will overclock as far as you want - I have taken it to 5.7 and it runs fine, it just thermal throttles quickly at that speed.  I'm pretty sure I could overclock this beast to the moon if I threw a lot more money into a custom cooling loop, but it is plenty fast as is.  I have no regrets about not bumping up to the 13900k, I do gaming and code compiling and it is a dream for both of those workloads."
adrian f.,Reviewed in Italy on 27 May 2024,"Senza cooler, senza packo original intel"
Amazon カスタマー,Reviewed in Japan on 29 December 2023,RTX4070tiとの組み合わせで、現行のゲームのほとんどは4K設定でプレイ出来ます。簡易水冷で冷やしてますが、ゲーム中でもファンは静かです。
María,Reviewed in Spain on 24 April 2024,Muy buena marca
Cliente de Amazon,Reviewed in Mexico on 31 March 2024,muy buen procesador 13700k va bien sigo usándolo después de muchos meses sigue trabajando llego nuevo de paquete eso da confianza  algo caro pero estoy satisfecho
RubberCheese,Reviewed in Canada on 24 July 2023,"This processor performs well and is a solid performance upgrade from my old i7-6700K. According to HWMonitor, the CPU package hovers around 15W power consumption doing desktop tasks (web browsing / email / Office).Compared to my i7-6700K (video card and PSU unchanged; new motherboard, ram, and heatsink&fan):- System power consumption at idle and doing desktop tasks is about 5W higher than my 6700K in normal mode, or about 15W lower in “eco” mode in my motherboard’s settings- Synthetic benchmarks (3dmark CPU Profile) indicate 2x performance for single-core processing and 4x performance for maximum threads- Real-life video encoding is roughly 3x faster using PowerDirectorNote that this LGA1700 socket is known to allow some bending (this causes poorer contact with heatsink which may cause throttling). This can be remedied by installing a pressure plate (I bought a Thermalright LGA1700-BCF for around $12).If you don’t need a built-in GPU, consider the i7-13700KF; the built-in GPU is nice to have but not always worth the premium. If you also don’t plan to overclock, consider the i7-13700F."
This processor is absolutely incredible with no doubt's..But if you guys are thinking buy this one then I suggest please go for 360 AIO…,Reviewed in India on 3 September 2023,This processor is absolutely incredible with no doubt’s… The only this you have to keep in mind that go for atleast 360 AIO for more better performance…
yogesh Kumar,Reviewed in India on 28 March 2023,"The media could not be loaded.
                



Most powerful cpu at this price bracket no doubt. Amazing performance.love it"
Nilesh Nikte,Reviewed in India on 16 January 2024,
Dhruv Joshi,Reviewed in India on 14 January 2023,This is my best buy so far for gaming and editing. It runs great whatever you throw. Excellent performance so far. Cinebench score is 29000 at 125 TDP.Suggestion: Buy only if you have very good amount of cooler.
Robert Johnson,Reviewed in the United States on 8 March 2024,"I bought this to replace my 10850k after I realized how much it was holding back my 4090.  I bought an ASRock z790 PG lightning /d4 board to go with it so I could use my existing DDR4 ram.  The difference was night and day!  I have an ID-Cooling 280mm AIO (cheapest I could find on Amazon) with a contact frame and kyronaut thermal grizzly extreme paste and does not thermal throttle on Cinebench R23 unless I run 3 or 4 passes back to back.  I am thrilled with how well this CPU runs.I was able to bump my DDR4 up to 4200mhz in gear 1 (timings cl20/26/26/26/48) after a bios update from ASRock and this thing is rock solid and crazy fast!  I get an average of 30500 in cinebench r23 and it will overclock as far as you want - I have taken it to 5.7 and it runs fine, it just thermal throttles quickly at that speed.  I'm pretty sure I could overclock this beast to the moon if I threw a lot more money into a custom cooling loop, but it is plenty fast as is.  I have no regrets about not bumping up to the 13900k, I do gaming and code compiling and it is a dream for both of those workloads."
adrian f.,Reviewed in Italy on 27 May 2024,"Senza cooler, senza packo original intel"
Amazon カスタマー,Reviewed in Japan on 29 December 2023,RTX4070tiとの組み合わせで、現行のゲームのほとんどは4K設定でプレイ出来ます。簡易水冷で冷やしてますが、ゲーム中でもファンは静かです。
María,Reviewed in Spain on 24 April 2024,Muy buena marca
Cliente de Amazon,Reviewed in Mexico on 31 March 2024,muy buen procesador 13700k va bien sigo usándolo después de muchos meses sigue trabajando llego nuevo de paquete eso da confianza  algo caro pero estoy satisfecho
RubberCheese,Reviewed in Canada on 24 July 2023,"This processor performs well and is a solid performance upgrade from my old i7-6700K. According to HWMonitor, the CPU package hovers around 15W power consumption doing desktop tasks (web browsing / email / Office).Compared to my i7-6700K (video card and PSU unchanged; new motherboard, ram, and heatsink&fan):- System power consumption at idle and doing desktop tasks is about 5W higher than my 6700K in normal mode, or about 15W lower in “eco” mode in my motherboard’s settings- Synthetic benchmarks (3dmark CPU Profile) indicate 2x performance for single-core processing and 4x performance for maximum threads- Real-life video encoding is roughly 3x faster using PowerDirectorNote that this LGA1700 socket is known to allow some bending (this causes poorer contact with heatsink which may cause throttling). This can be remedied by installing a pressure plate (I bought a Thermalright LGA1700-BCF for around $12).If you don’t need a built-in GPU, consider the i7-13700KF; the built-in GPU is nice to have but not always worth the premium. If you also don’t plan to overclock, consider the i7-13700F."
Anish Roy,Reviewed in India on 28 June 2022,"No doubt, 12th gen Intel processors are a marvel of computing technology. Although there is a continuing tug of war between Intel and AMD in this regard. I personally chose Intel Core i7 (12700K) with inbuilt UHD graphics for my newly built desktop PC. For those, who don't want to use a separate and usually exorbitantly priced graphics cards, this processor is a very good alternative. It can handle most of the processing intensive rendering of Blender easily with its unlocked overclocking (obviously you have to use the supporting motherboard, i.e. presently available Z690 chipset motherboards). It can also smoothly handle almost all the tasks of Adobe Lightroom and Photoshop with no hiccups. Not to mention the support of 4K video with HDR if you are looking for some decent and the latest entertainment in your PC. I would suggest this 12th Gen i7 to those who want to use their PC for content creation purpose in the best possible way and also at the same time save some money (compared to 12th Gen i9, which would ideally be the best anyway, but costlier too). The price is still at a high level. Hopefully this comes down soon with the launch of Intel's 13th Gen processors!"
Maxrock89,Reviewed in India on 29 March 2022,"I have paired this processor with Asus Prime Z690A motherboard and 32G 5200Mhz DDR5 ram. My usage is mostly for Adobe suite for 4K video rendering & photoediting (without dedicated eGPU) and ocassonal AAA title gaming like GTA5, Battlefield, Cpunk,etc.The processor works like a charm for rendering and Games upto 75Hz in 1080p ultra setting.Overall good processor for the price and more review to come in future edits."
Andy,Reviewed in Japan on 25 May 2023,自分のCPUが結構古いので、12年ぶりにアップグレードしました。最初はRYZENに迷っていたが、結果これを購入することにしました。結果はすごく満足で、友達の似たようなのRYZENのCPUと同じゲーム実行してみた結果、自分のPCの方が勝っています！！（笑）
Nicolo,Reviewed in Italy on 13 February 2024,"Processore eccellente, montato sul pc perfettamente senza intoppi, regge benissimo i giochi semplici anche senza scheda video"
"Does the job and bright enough through the dark night, Red LED works really well and charge is holding up nicely. Can recommend the seller/product.",Reviewed in Australia on 2 April 2024,"Working well, stable and can be overclock - with correct cooling setup. Good price too."
Allan,Reviewed in Canada on 23 May 2024,"Does exactly what it's supposed to do, my computer works great"
Chaw Koh Yong,Reviewed in Singapore on 29 December 2023,Good value purchase to build a system.
William,Reviewed in the United Kingdom on 10 April 2024,"So, being an AMD fanboy, I was not keen on getting this, but the c/t (cores to threads) kinda caught my eye. Running 12 cores, and 20 threads (4 e-cores i think) I thought, well, for the price, it should be okay?I was wrong...This cpu is a monster in my eyes. Running with 32GB of ram (ddr4) and matched with the RTX 4070 GPU being cooled by the Artic Liquid Freezer ii, there is nothing stopping this from performing to its max. I would recommend this piece of kit to anyone, starting out or continuing on with building computers for their ""high end"" gaming etc. I have not once seen this struggle."
Javi_abj,Reviewed in Spain on 23 August 2023,Es lo que se espera de sus especificaciones.
César Quevedo,Reviewed in Mexico on 5 May 2023,"Al momento de comprarlo tenía duda sobre si me llegaría muy maltratado, ya que es importado de Amazon USA, pero venía en excelente estado, cumplieron con el tiempo de entrega y no tuve absolutamente ningún problema en el envío ni en la entrega, además de que está a un precio más bajo que el resto. Lo recomiendo ampliamente, sobre todo para las personas como yo que están armando su primer PC Gamer y de trabajo y buscan pieza por pieza."
Manas ranjan pani,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money
BANGMOY CHAKRABORTY,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it
Cliente de Amazon,Reviewed in Mexico on 22 March 2024,"El procesador llego bien empacado y con sus condiciones y funcionalidad excelente, cumple con todo; no tiene disipador de stock, pero hay tener en cuenta que para este tipo de procesadores es necesario un disipador de calor más eficiente que los que vienen en otros procesadores"
Mergatroid,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen."
なす,Reviewed in Japan on 19 April 2024,7700ｋがwindows11に対応していないのでそろそろ新しいPCを組まなければと思いこちらを選びました。今までずっとｋ付きのi7を使ってきたので今回もそうしました。7700ｋが消費電力91ｗなのにこちらは253ｗとあり、目玉が飛び出しました。7700ｋは虎徹で十分に冷えましたがこちらは無理そうで、クーラーはDeepCoolのAK620を選びました。125ｗに電力制限をかければ70度程度に落ち着き、安心して使えそうです。グリスの塗り方を適切にすればもう少し下がりそうに思います。肝心の使用感ですが、論理コア含めて28コアもあるのでよほどの作業をしても重くならないという安心感があります。僕の使用状況を考えるとオーバースペックなのですが、あとになって性能が足りないと後悔するよりも、性能の高い方を買って十分なものを買ったんだと安心するほうが僕の性に合っています。僕がi7を買い続ける理由はこの安心感なのです。電力制限が必要なのも僕にとっては利点です。普段は125ｗに制限をかけておけば、いざというときに制限を解除できるという安心感につながるからです（いざというときなんてきっと来ません。分かっています）今回のi7も十分な安心感を買えたと思います。
一般人,Reviewed in Japan on 8 December 2023,初自作に使用。240mm簡易水冷でそこそこに冷やせます私は制限125wで運用最新のi7を使っているだけで気分的には最高です
Blaz Cegnar,Reviewed in Germany on 15 March 2024,"Haven't installed yet but looks fine. Die size is 30x40 mm, meaning 0,3 ml/0,8 g is the perfect amount of thermal paste (not included). I'll put 5 dots."
Falcos01,Reviewed in Canada on 18 January 2024,"Arrived earlier than expected, a very good Cpu. Expansive but what could we do."
Rich and Jen,Reviewed in the United States on 3 January 2024,"I guess everyone is right, these things are hot and then some.  I went with a off brand AIO, and for the most part I'm good.  It does get spicy when I'm rendering or doing some crazy multi tasking.Gaming seems fine, no issues.  I play all kinds of games, FPS, MMO's, survival, etc.  (Paired with a Gigabyte Gaming 4090 OC, Tforce 64 gigs 6000 M/T DDR5, samsung 990 pro NVME 2 tb x2, no OCing done by me.)I replaced a 5950x, which was having issues for some reason, just felt like it was getting slower and slower, thermal paste and heat were fine on it, never got over 60c with the beefier AIO I had on it.  Just took longer and longer to render things.  I guess I wore it out!I just think you'll want a good AIO, and/or a solid water cooling solution for this to really get the best out of it.  I'm not sure a air cooled option will do you any good, but hey I've been wrong many times, so there might be something that can handle the job.All in all, not bad, but it's not going to give you much performance boost over last gen, matter of fact I found out later 13700k beats it in a lot of tests, blargh!  Either way, its fast, and it runs everything great, so I'm happy till the next go around."
Simon R,Reviewed in Germany on 13 January 2024,"Nachdem ich vor einer Weile auf einen 2k 144hz Bildschirm geupgraded hab, hat mein 9600k das Bocken angefangen und konnte in letzter Zeit nicht mehr die gewünschte Leistung bringen.Hab jetzt seit ein paar Tagen dieses gute Stück hier und was soll man sagen… ein Rennpferd bester Güte. High End Gaming bewältigt der 14700k Mühelos. (ein Beispiel: Forza Motorsport unter 25% auslastung laut taskmanager und laut intel monitoring unter 5% auslastung... verwirrend) Man könnte  auch 2 oder 3+ Titel gleichzeitig laufen lassen wenn die Grafikkarte das mitmacht.Mit meiner aio kühlung kann er im Stresstest schon auf 90 grad hochgehen, die ist aber schon bisschen älter, mit einer neuen lässt sich da sicher noch was machen.In Spielen ca. 60-70grad.die performance ist jedenfalls hervorragenddas geld hat sich jedenfalls gelohnt, allerdings ist jetzt meine 3070 wieder das bottleneck 😂👍"
Manas ranjan pani,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for money
BANGMOY CHAKRABORTY,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy it
Cliente de Amazon,Reviewed in Mexico on 22 March 2024,"El procesador llego bien empacado y con sus condiciones y funcionalidad excelente, cumple con todo; no tiene disipador de stock, pero hay tener en cuenta que para este tipo de procesadores es necesario un disipador de calor más eficiente que los que vienen en otros procesadores"
Mergatroid,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen."
なす,Reviewed in Japan on 19 April 2024,7700ｋがwindows11に対応していないのでそろそろ新しいPCを組まなければと思いこちらを選びました。今までずっとｋ付きのi7を使ってきたので今回もそうしました。7700ｋが消費電力91ｗなのにこちらは253ｗとあり、目玉が飛び出しました。7700ｋは虎徹で十分に冷えましたがこちらは無理そうで、クーラーはDeepCoolのAK620を選びました。125ｗに電力制限をかければ70度程度に落ち着き、安心して使えそうです。グリスの塗り方を適切にすればもう少し下がりそうに思います。肝心の使用感ですが、論理コア含めて28コアもあるのでよほどの作業をしても重くならないという安心感があります。僕の使用状況を考えるとオーバースペックなのですが、あとになって性能が足りないと後悔するよりも、性能の高い方を買って十分なものを買ったんだと安心するほうが僕の性に合っています。僕がi7を買い続ける理由はこの安心感なのです。電力制限が必要なのも僕にとっては利点です。普段は125ｗに制限をかけておけば、いざというときに制限を解除できるという安心感につながるからです（いざというときなんてきっと来ません。分かっています）今回のi7も十分な安心感を買えたと思います。
一般人,Reviewed in Japan on 8 December 2023,初自作に使用。240mm簡易水冷でそこそこに冷やせます私は制限125wで運用最新のi7を使っているだけで気分的には最高です
Blaz Cegnar,Reviewed in Germany on 15 March 2024,"Haven't installed yet but looks fine. Die size is 30x40 mm, meaning 0,3 ml/0,8 g is the perfect amount of thermal paste (not included). I'll put 5 dots."
Falcos01,Reviewed in Canada on 18 January 2024,"Arrived earlier than expected, a very good Cpu. Expansive but what could we do."
Rich and Jen,Reviewed in the United States on 3 January 2024,"I guess everyone is right, these things are hot and then some.  I went with a off brand AIO, and for the most part I'm good.  It does get spicy when I'm rendering or doing some crazy multi tasking.Gaming seems fine, no issues.  I play all kinds of games, FPS, MMO's, survival, etc.  (Paired with a Gigabyte Gaming 4090 OC, Tforce 64 gigs 6000 M/T DDR5, samsung 990 pro NVME 2 tb x2, no OCing done by me.)I replaced a 5950x, which was having issues for some reason, just felt like it was getting slower and slower, thermal paste and heat were fine on it, never got over 60c with the beefier AIO I had on it.  Just took longer and longer to render things.  I guess I wore it out!I just think you'll want a good AIO, and/or a solid water cooling solution for this to really get the best out of it.  I'm not sure a air cooled option will do you any good, but hey I've been wrong many times, so there might be something that can handle the job.All in all, not bad, but it's not going to give you much performance boost over last gen, matter of fact I found out later 13700k beats it in a lot of tests, blargh!  Either way, its fast, and it runs everything great, so I'm happy till the next go around."
Simon R,Reviewed in Germany on 13 January 2024,"Nachdem ich vor einer Weile auf einen 2k 144hz Bildschirm geupgraded hab, hat mein 9600k das Bocken angefangen und konnte in letzter Zeit nicht mehr die gewünschte Leistung bringen.Hab jetzt seit ein paar Tagen dieses gute Stück hier und was soll man sagen… ein Rennpferd bester Güte. High End Gaming bewältigt der 14700k Mühelos. (ein Beispiel: Forza Motorsport unter 25% auslastung laut taskmanager und laut intel monitoring unter 5% auslastung... verwirrend) Man könnte  auch 2 oder 3+ Titel gleichzeitig laufen lassen wenn die Grafikkarte das mitmacht.Mit meiner aio kühlung kann er im Stresstest schon auf 90 grad hochgehen, die ist aber schon bisschen älter, mit einer neuen lässt sich da sicher noch was machen.In Spielen ca. 60-70grad.die performance ist jedenfalls hervorragenddas geld hat sich jedenfalls gelohnt, allerdings ist jetzt meine 3070 wieder das bottleneck 😂👍"
Yogesh Sharma,Reviewed in India on 23 July 2023,Ultimate Performance
Ernesto,Reviewed in Spain on 21 December 2023,Muito bom recomendo e entrega rapida.
Sandrine,Reviewed in France on 21 August 2022,"Processeur utilisé pour du montage vidéo, retouches photos et un peu de jeu, processeur à l'aise et chauffe beaucoup moins que le modèle K."
ちけ,Reviewed in Japan on 26 February 2023,ARMORED CORE VIの発表を機に10年ぶりにPCを組みたくなったので購入しましたが、発熱が高いのでDeepcool AK620のcpuクーラーと合わせて使いつつ、反り防止フレームも取り付けてゲーミングPCとして使っています。Star Citizenというゲームにだけは性能が若干足りないので、後々13世代以降のCPUに買い替えるかもしれません・・・が一般的な有名ゲームで遊ぶ分には快適に遊べています。i7-12700Kと悩みましたが性能と消費電力のバランスを考え無印にしました。（家の事情で冬は電力消費が大きいとブレーカーが落ちる可能性があるので・・・）他の方も書いていますがCPUクーラーと反り防止フレームは別途購入した方がいいですね。発熱と反りの対策が出来れば一般的なゲーム使用には満足できる製品ですので☆５にしました。
JohnC,Reviewed in the United Kingdom on 2 August 2023,"Upgraded PC with mother board and graphics card, new board did not facilitate my older processor. Bought this as I considered it fast enough for my needs and at a reasonable price. All works great."
Alexandr,Reviewed in Germany on 23 April 2024,Funktioniert super
Gualty,Reviewed in Italy on 21 March 2024,Cpu di elevatissime prestazioni con scheda grafica incorporata molto potente
John W.,Reviewed in the United Kingdom on 1 May 2022,"Paired this with 32gb corsair dominator DDR5 @5800mhz , asus prime A , and a 3070ti on windows 11 and I'm having a really smooth experience. Games run flawlessly and much smoother than my 10900k, went into Bios and unlocked the 65w limit and away you go. The cpu stays cool (under lian li galahad 240). Really can't fault it in anyway."
Samer Shekhmous,Reviewed in Germany on 11 January 2024,Gut
Manu,Reviewed in France on 7 April 2022,"Super processeur, très puissant, ne chauffe pas même avec le ventilo Intel fourni. Commandé le dimanche reçu le mardi.... Que du bonheur il se balade dans tous les jeux."
Awaddd,Reviewed in the United Kingdom on 27 April 2024,Really good and can basically run any game I throw at it.(Paired with a 1650 Ventus
Kristopher K.,Reviewed in Germany on 31 March 2023,"Dieser Prozessor hat sich als eine gute Wahl für meinen Low-Budget-PC herausgestellt. Er bietet ausreichend Leistung für alltägliche Aufgaben wie Surfen im Internet und Bearbeiten von Dokumenten. Auch einfache Spiele laufen problemlos. Der Turbo-Boost sorgt für zusätzliche Power, wenn sie benötigt wird. Der Preis ist im Vergleich zu höheren Modellen sehr erschwinglich. Ich bin mit dem Intel Core i3-10105F sehr zufrieden und würde ihn jedem empfehlen, der einen kostengünstigen PC bauen möchte.Mein Patenkind konnte Fortnite problemlos auf meinem Low-Budget-PC mit dem Intel Core i3-10105F und einer RTX 2070 Super spielen. Natürlich gibt es Grenzen für komplexe Anwendungen und Spiele, aber für alltägliche Aufgaben und einfache Spiele ist dieser Prozessor vollkommen ausreichend. Die Installation war einfach und die Leistung ist stabil. Wenn man bedenkt, dass es eine preisgünstige Option für einen Prozessor der 10. Generation ist, bin ich sehr zufrieden damit."
Lorenzo Ruiz,Reviewed in Australia on 16 November 2021,"Was tired of salvaging old pc parts, just not reliable long term esp. if you have important files. Future proofed myself for the next few years with this intel i3 10th gen comet lake refresh cpu. See 3rd picture for benchmark. Happy with purchase!"
Raoul,Reviewed in Mexico on 18 May 2022,Increible funciona de maravilla junto con 16gb de ram TEAMGROUP T-Force Vulcan Z DDR4 y una Asus TUF-GTX1650-O4GD6-P-GAMING todo en una Asus Prime H510M-E INCREIBLE corre desde Escape from Tarkov hasta Elden Ring lo recomiendo mucho
SeFra,Reviewed in Italy on 25 November 2022,"Lasciate perdere commenti o recensioni di gente che capisce poco di informatica...questo non è un semplice processore SOLO da ufficio o internet, è un gran bel processore con un prezzo incredibile...non esiste nessun processore sotto i 130 euro che lontanamente si avvicini alle sue prestazioni..abbinatelo ad una buona scheda video e vi darà grandi soddisfazioni anche in game. Ottima la stabilità. Lo consiglio."
Bruno wescley de castro Miranda,Reviewed in Brazil on 20 January 2023,"Ótimo processador custo benefício, tinha um i7 da terceira geração e esse mesmo sendo i3 é superior aos top das linhas passadas, meus jogos melhoraram bastante com minha GTX 1660"
C. M.,Reviewed in France on 27 May 2023,"Bon marché et efficace pour une utilisation basique, génération plus âgée."
Kuba,Reviewed in the Netherlands on 2 October 2023,Waar is mijn geld!!! Ik wacht 4 weeken op
Gabriel Vilas,Reviewed in Spain on 19 September 2023,Por el precio que tiene es el mejor procesador del mercado para un uso normal o gaming básico.El procesador con el disipador de serie funciona sin problemas y no veo necesario buscar otra solución de refrigeración a no ser que se quiera hacer un uso realmente intenso y en tal caso un disipador de 20/30€ te hace el apaño y más.
Feng Yang,Reviewed in the United Kingdom on 20 September 2021,"Too good to not not-leave a review. Got it £75, each core cost only £19. played a set of games, Performance is close to I5 10400F. very happy with it. it is cool and quite, the MAX temperature I have is about 55c with a budget cooler master cooler."
